composer,title,labels
Mozart,"Mozart- Piano Sonata in C major, K. 279- 1st mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in C major, K. 279- 2nd mov. Andante","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in C major, K. 279- 3rd mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in F major, K. 280- 1st mov. Allegro assai","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in F major, K. 280- 2nd mov. Adagio","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in F major, K. 280- 3rd mov. Presto","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in B flat major, K. 281- 1st mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in B flat major, K. 281- 2nd mov. Andante amoroso","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in B flat major, K. 281- 3rd mov. Rondeau (Allegro)","Rondo,Rondo-Sonata,Rondo-Sonata"
Mozart,"Mozart- Piano Sonata in E flat major, K. 282- 1st mov. Adagio","Binary,Binary"
Mozart,"Mozart- Piano Sonata in E flat major, K. 282- 2nd mov. Menuetto I - II","Minuet,Minuet,Minuet"
Mozart,"Mozart- Piano Sonata in E flat major, K. 282- 3rd mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in G major, K. 283- 1st mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in G major, K. 283- 2nd mov. Andante","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in G major, K. 283- 3rd mov. Presto","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in D major, K. 284 'Dürnitz'- 1st mov. Allegro","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in D major, K. 284 'Dürnitz'- 2nd mov. Rondeau en Polonaise (Andante)","Rondo-Sonata,Rondo-Sonata,Rondo-Sonata"
Mozart,"Mozart- Piano Sonata in C major, K. 309- 1st mov. Allegro con spirito","Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in C major, K. 309- 2nd mov. Andante un poco Adagio","Ternary"
Mozart,"Mozart- Piano Sonata in C major, K. 309- 3rd mov. Rondeau (Allegretto grazioso)","Rondo-Sonata,Rondo-Sonata"
Mozart,"Mozart- Piano Sonata in A minor, K. 310- 1st mov. Allegro maestoso","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in A minor, K. 310- 3rd mov. Presto","Rondo-Sonata,Rondo-Sonata,Rondo-Sonata"
Mozart,"Mozart- Piano Sonata in D major, K. 311- 1st mov. Allegro con spirito","Sonata,Sonata,Sonata"
Mozart,"Mozart- Piano Sonata in D major, K. 311- 2nd mov. Andante con espressione","Rondo-Sonata,Rondo-Sonata,Rondo-Sonata"
